"id","uid","text","attitudes","comments","reposts","scheme"
46,"4216399309701989","糖棕的果子，经常用来冒充海椰子（海底椰），广东煲汤用的海底椰几乎都是糖棕","41","26",12,"https://m.weibo.cn/status/G6SCuEHVH?mblogid=G6SCuEHVH&luicode=10000011&lfid=1076031410812623"
47,"4216394176188001","软枣猕猴桃，也被叫奇异莓，很好吃，就是不耐运","119","46",29,"https://m.weibo.cn/status/G6SudpXMt?mblogid=G6SudpXMt&luicode=10000011&lfid=1076031410812623"
48,"4216369983886562","#一点植物学#今天又吃释迦（其实是米糕霹雳果）了！释迦的外壳，长了很多短粗的小手指哎。但是外表不重要，打开看看，看起来软软糯糯的，有一种冰淇淋的质感，感觉就很好吃呢。史军老师，上去就是一勺子哎。吃起来果肉口感，也跟冰淇淋差不多，就是种子比较多。不过为什么感觉被大家分食过后的释迦看着 ...全文","93","77",21,"https://m.weibo.cn/status/G6RRcgj4u?mblogid=G6RRcgj4u&luicode=10000011&lfid=1076031410812623"
49,"4216369510317040","还以为是块石头","41","6",4,"https://m.weibo.cn/status/G6RQr1kty?mblogid=G6RQr1kty&luicode=10000011&lfid=1076031410812623"
50,"4216367395575822","蒜苗有大蒜味儿，如果没有，必然不是蒜就别吃//@Bangdari:@植物人史军 史老师，科普科普，给点辨认的小窍门","44","51",20,"https://m.weibo.cn/status/G6RN1nowC?mblogid=G6RN1nowC&luicode=10000011&lfid=1076031410812623"
51,"4216144895854664","#一点植物学# 巴厘岛的记忆，你认出几种水果蔬菜呢 植物人史军的秒拍视频","26","13",2,"https://m.weibo.cn/status/G6M09oz44?mblogid=G6M09oz44&luicode=10000011&lfid=1076031410812623"
52,"4216083793649667","人心果，一股柿子味儿齁甜。","61","40",4,"https://m.weibo.cn/status/G6KpBfjrB?mblogid=G6KpBfjrB&luicode=10000011&lfid=1076031410812623"
53,"4216049400435288","转发微博","18","0",2,"https://m.weibo.cn/status/G6Jw81PeM?mblogid=G6Jw81PeM&luicode=10000011&lfid=1076031410812623"
54,"4216029586389517","这样的行为，淘宝就应该直接封号，并追究责任。@淘宝网 不知者无罪不是挡箭牌，山是国有集体所有的，花根本轮不到个人处分。","127","31",31,"https://m.weibo.cn/status/G6J0aqOcJ?mblogid=G6J0aqOcJ&luicode=10000011&lfid=1076031410812623"
55,"4216007596015892","#一点植物学#史军老师又品尝水果了，感觉看着史军老师吃的那一口，看着看着口中就分泌了好多唾液，我滴天。所以吃的是啥呢？嗯呢，土柠檬，长得跟我们常见的柠檬差不多，但是要长很多，而且果皮好厚，感觉跟柚子皮差不多了哦。据说味道想来檬，适合做菜，不适合鲜食哦。【土柠檬】拍摄坐标：马来西亚沙 ...全文","34","6",2,"https://m.weibo.cn/status/G6IqHpf0w?mblogid=G6IqHpf0w&luicode=10000011&lfid=1076031410812623"
56,"4216000586939027","回复@太行肖雯:水椰子，唯一一种水生棕榈，可以吃的果子//@太行肖雯:@植物人史军//@太行肖雯:转发微博","64","25",9,"https://m.weibo.cn/status/G6Ifot79N?mblogid=G6Ifot79N&luicode=10000011&lfid=1076031410812623"
57,"4215987827620143","红花，她就叫红花","68","24",2,"https://m.weibo.cn/status/G6HUOvYlx?mblogid=G6HUOvYlx&luicode=10000011&lfid=1076031410812623"
58,"4215968932311862","回复@Alice的魔镜:还是香蒲，这个视频居然不是LOL//@Alice的魔镜:@植物人史军","40","33",13,"https://m.weibo.cn/status/G6Hql9Hq6?mblogid=G6Hql9Hq6&luicode=10000011&lfid=1076031410812623"
59,"4215949487978825","转发微博","27","28",46,"https://m.weibo.cn/status/G6GUYxtEJ?mblogid=G6GUYxtEJ&luicode=10000011&lfid=1076031410812623"
60,"4215796542662479","露兜树的果子，些许麻嘴，真不值得吃","48","48",9,"https://m.weibo.cn/status/G6CWibaDd?mblogid=G6CWibaDd&luicode=10000011&lfid=1076031410812623"
61,"4215783406086192","玉兰，有点像二乔玉兰","55","28",3,"https://m.weibo.cn/status/G6CB6pxio?mblogid=G6CB6pxio&luicode=10000011&lfid=1076031410812623"
62,"4215770047203289","恭喜@崔维斯呀 等3名用户获得【一本自然叶子本 2本】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公证链接：微博抽奖平台","28","7",2,"https://m.weibo.cn/status/G6CfyudU5?mblogid=G6CfyudU5&luicode=10000011&lfid=1076031410812623"
63,"4215744818391953","还有最后1个半小时，现在参与正当时","25","15",21,"https://m.weibo.cn/status/G6BARzd85?mblogid=G6BARzd85&luicode=10000011&lfid=1076031410812623"
64,"4215654166623991","#一点植物学#最近几年，咖啡成了好多小伙伴钟爱的提神饮品。喝的比较讲究的朋友，都买了咖啡豆，自己慢慢搞慢慢享受了。然而，咖啡的花朵大家见过吗？来来来，看看这些小白花，它们就是一种咖啡，叫做罗布斯塔。而我们平常经常喝的品种叫做阿拉比卡，这个听起来是不是有些熟悉。但是，罗布斯塔有非常好 ...全文","66","14",11,"https://m.weibo.cn/status/G6zeErNcz?mblogid=G6zeErNcz&luicode=10000011&lfid=1076031410812623"
65,"4215634277798604","细节不太清楚，但大体来看，一棵是桃，一棵是樱，若非嫁接的话，就是两棵树长在一起了。","61","16",7,"https://m.weibo.cn/status/G6yIzwILW?mblogid=G6yIzwILW&luicode=10000011&lfid=1076031410812623"
66,"4215621870835320","很多牧草确实是多年生的，比如说苜蓿就是这样子。中国缺高品质的乳品，跟缺高品质的牧草关系非常大。想当年，张骞通西域，搞回来了苜蓿，汉武帝才有机会指挥大规模骑兵作战。今天中国宝宝想喝上高品质的乳品，还真得从种草开始。 配图为苜蓿。 查看图片","86","53",18,"https://m.weibo.cn/status/G6yoz3viU?mblogid=G6yoz3viU&luicode=10000011&lfid=1076031410812623"
67,"4215473773764652","虽然无毒，但气味重会影响休息，还是不要放卧室。","64","12",6,"https://m.weibo.cn/status/G6uxHfNmc?mblogid=G6uxHfNmc&luicode=10000011&lfid=1076031410812623"
68,"4215430879406714","吃瓜群众惊呆了","61","10",49,"https://m.weibo.cn/status/G6tqvDt7c?mblogid=G6tqvDt7c&luicode=10000011&lfid=1076031410812623"
69,"4215363538938955","对啊，就是裸子植物的花粉了，又到了让很多花粉过敏朋友哭天喊地的季节了，你一定需要口罩和空气器净化器，植物人史军为你竭诚服务。","50","22",8,"https://m.weibo.cn/status/G6rFTBvqH?mblogid=G6rFTBvqH&luicode=10000011&lfid=1076031410812623"
70,"4215349933592617","终极问题是，香橼是来檬它妈。//@陈大大大咪: 情敌嘛？//@植物人史军:#一点植物学# 这里面其实涉及一个严肃的伦理学问题，香橼是柠檬他爸，酸橙是柠檬它妈，来檬是香橼和小花橙的爱情结晶，问小花橙是酸橙的什么人？","23","13",14,"https://m.weibo.cn/status/G6rjXf4Br?mblogid=G6rjXf4Br&luicode=10000011&lfid=1076031410812623"
71,"4215338004903384","#一点植物学# 这里面其实涉及一个严肃的伦理学问题，香橼是柠檬他爸，酸橙是柠檬它妈，来檬是香橼和小花橙的爱情结晶，问小花橙是酸橙的什么人？","36","20",28,"https://m.weibo.cn/status/G6r0IkzAQ?mblogid=G6r0IkzAQ&luicode=10000011&lfid=1076031410812623"
72,"4215314642257286","发布了头条文章：《柠檬来檬黎檬粗柠檬，你懵圈了吗？》 柠檬来檬黎檬粗柠檬，你懵圈了吗？","173","45",98,"https://m.weibo.cn/status/G6qp29tdQ?mblogid=G6qp29tdQ&luicode=10000011&lfid=1076031410812623"
73,"4215307133920555","#一点植物学#大部分植物都是以它们的花朵，果实为大家所熟知的，当花朵开放的时候有娇艳的美，也有清新淡雅的美，所以大家尤为喜欢。但是，我们今天来介绍几种观叶植物哦，其实也是蛮漂亮的，叶子也不是只有绿色的哦。有彩色的大戟科的变叶木，有高大的龙舌兰科的朱蕉，还有传统绿色也得天门冬科的香龙 ...全文","46","6",7,"https://m.weibo.cn/status/G6qcVgrUL?mblogid=G6qcVgrUL&luicode=10000011&lfid=1076031410812623"
74,"4215299756509236","#一点植物学# 杏梅开花正当时，杏和梅的集合体。很容易被误认为是碧桃和榆叶梅，然而后面这两种还没有开花呢。","53","13",8,"https://m.weibo.cn/status/G6q11rjlG?mblogid=G6q11rjlG&luicode=10000011&lfid=1076031410812623"
75,"4215286485422790","对了，还有大家很关心的一个问题，就是这些草莓的价格如何。列表均为网购500克的人民币价格。 1.红颜，30-40元。2.幸香，很少见。3.淡雪，650元。4.艳丽，40元。5.白雪公主，150元。仅供参考。","31","24",16,"https://m.weibo.cn/status/G6pFCmKIm?mblogid=G6pFCmKIm&luicode=10000011&lfid=1076031410812623"
76,"4215283373636471","祝大家女生节快乐！","37","1",2,"https://m.weibo.cn/status/G6pABfg0L?mblogid=G6pABfg0L&luicode=10000011&lfid=1076031410812623"
77,"4215265186760595","回复@讴小讴小讴:这个主要是跟品种有关系，另外水分条件和肥料的条件都会加重空心情况。//@讴小讴小讴:据说草莓切开里面是空心的就是打了膨大剂，是不是真的呀","28","2",7,"https://m.weibo.cn/status/G6p7gsmJR?mblogid=G6p7gsmJR&luicode=10000011&lfid=1076031410812623"
78,"4215260288481504","南非百合，其实不是百合了，而是垂筒花Cyrtanthus mackenii。花朵很特别，很可能是鸟类传粉的花朵，整个花朵就拟合了鸟嘴的形态。南非的石蒜科植物真的太神奇了（包括鼎鼎大名的君子兰哦）。","51","6",5,"https://m.weibo.cn/status/G6oZmzAqs?mblogid=G6oZmzAqs&luicode=10000011&lfid=1076031410812623"
79,"4215253993138149","#一点植物学# 【红颜草莓成霸主，是中国历史在水果上的投影】吃了一圈草莓，发现草莓市场“红颜”一统是有道理和原因的。
1.颜色符合中国人的传统认知。淡雪的粉，白雪公主的白固然素雅，但是这不是传统认知啊，中国人对这种草莓的第一个疑问是，这熟了吗？
2.风味浓郁程度，毫无疑问，新的日系品种走 ...全文","127","100",77,"https://m.weibo.cn/status/G6oPddanj?mblogid=G6oPddanj&luicode=10000011&lfid=1076031410812623"
80,"4215248322000386","回复@乾恕:服就一个字//@乾恕:生殖隔梨","35","6",9,"https://m.weibo.cn/status/G6oG48ooi?mblogid=G6oG48ooi&luicode=10000011&lfid=1076031410812623"
81,"4215239988460812","#一点植物学# 注意，这个＂苹果＂是梨梨梨。
再说一下，苹果梨是梨，不是苹果和梨的杂交。就好像鸭和鹅无法在一起一样。","66","31",24,"https://m.weibo.cn/status/G6osCzv2I?mblogid=G6osCzv2I&luicode=10000011&lfid=1076031410812623"
82,"4215077928055012","这是在挑战，不，是藐视大众智商","105","24",115,"https://m.weibo.cn/status/G6kfexNty?mblogid=G6kfexNty&luicode=10000011&lfid=1076031410812623"
83,"4215069140640853","大青枣，只是长了个痘痘两已，表歧视哦（果皮长歪了点）。吃吃吃。","40","10",4,"https://m.weibo.cn/status/G6k142GIl?mblogid=G6k142GIl&luicode=10000011&lfid=1076031410812623"
84,"4215011658720762","回复@大白菜要一直很努力:从生态角度讲，我也赞成有机菜，这是个环境友好形的选择。但褔寿螺暴发的时候人工＝钱。//@大白菜要一直很努力:为啥要用这个药杀蜗牛？感觉不会有很多蜗牛。我家自己种的菜有蜗牛就人工抓一下。基本不打什么农药。","59","14",24,"https://m.weibo.cn/status/G6iwlAAFs?mblogid=G6iwlAAFs&luicode=10000011&lfid=1076031410812623"
85,"4215001558296428","换水，保温，适度光照，一个都不能少。","33","17",4,"https://m.weibo.cn/status/G6ig3yOhm?mblogid=G6ig3yOhm&luicode=10000011&lfid=1076031410812623"
86,"4214998961936912","冷宫不是一个宫，公公呢？","23","5",4,"https://m.weibo.cn/status/G6ibS87Sw?mblogid=G6ibS87Sw&luicode=10000011&lfid=1076031410812623"
87,"4214971745041711","@国家动物博物馆员工","26","7",29,"https://m.weibo.cn/status/G6htYl9zV?mblogid=G6htYl9zV&luicode=10000011&lfid=1076031410812623"
88,"4214943047787914","#一点植物学# 【白菜，油菜，油麦菜上有绿色颗粒，还能吃吗？】多次被问到这个问题，统一回答一下哈。（图片均来自网络及网友提问）
1.这些颗粒是什么？
四聚乙醛，是一种杀灭蜗牛、福寿螺等螺类的农药。
2.这些颗粒有毒吗？
当然有。只是对人和鱼都是低毒的，主要是针对螺类起作用。如果不专门去吃， ...全文","659","186",386,"https://m.weibo.cn/status/G6gJGwFZw?mblogid=G6gJGwFZw&luicode=10000011&lfid=1076031410812623"
89,"4214920180274818","#一点植物学#仙人掌，大家肯定都见过的，但是仙人掌开花结果，见过的同学就比较少了吧。史军老师居然还吃过仙人掌的果实，但是，感觉史军老师心里留下了阴影，因为仙人掌果实上有很多小毛刺，扎到肉里，实在是很难挑出来。而且，它们味道跟火龙果差不多，不过，种子很大，很明显不适合被食用。虽然果实 ...全文","77","65",20,"https://m.weibo.cn/status/G6g8O19uy?mblogid=G6g8O19uy&luicode=10000011&lfid=1076031410812623"
90,"4214917332661407","这说法已经挺客观了","87","43",43,"https://m.weibo.cn/status/G6g4dbalV?mblogid=G6g4dbalV&luicode=10000011&lfid=1076031410812623"
91,"4214916145709817","火焰树，很美！","63","9",9,"https://m.weibo.cn/status/G6g2inXnP?mblogid=G6g2inXnP&luicode=10000011&lfid=1076031410812623"
92,"4214882364282617","经博友提示核对，更似鳢肠，菊科植物。也是无毒，但对溃疡如何，不确定。植物只看叶子真的很容易出问题不要乱采哦。","29","38",5,"https://m.weibo.cn/status/G6f9OhY6t?mblogid=G6f9OhY6t&luicode=10000011&lfid=1076031410812623"
93,"4214864656389772","红花檵木和紫荆。","51","26",1,"https://m.weibo.cn/status/G6eHfqOgQ?mblogid=G6eHfqOgQ&luicode=10000011&lfid=1076031410812623"
94,"4214694501936125","#粉丝福利# 春天了，我又快要进入""这是什么植物""的答题时间！提前给大家推荐一个好物， @果壳商店 的一本自然·叶子本，里面有100种常见植物叶片和对应物种名称，记录生活的同时认认植物。转评本条微博，@ 一个好友，同ta一起辨识身边的一草一木。9号21点抽3人，每人2本。直达戳笔记本丨一本自然 叶子本 100幅插画硬皮空白纸记事本子 果壳商店","154","530",876,"https://m.weibo.cn/status/G6agO87FP?mblogid=G6agO87FP&luicode=10000011&lfid=1076031410812623"
95,"4214641254872648","#一点植物学# 这个花叫结香，叫结香，结香，香…","84","74",19,"https://m.weibo.cn/status/G68SVkrB6?mblogid=G68SVkrB6&luicode=10000011&lfid=1076031410812623"
